experiment,read,sequence(; separated),positions (;spearated),order_doesn't_quite_work
M,c26c36d2-66fc-4976-aa78-660ed7d6c5a6,J23102;RBSc58;T3_ECK120033737;J23113;RBSc36;siaT;T1_L3S2P55,10:44;48:77;182:224;267:301;305:335;336:806;810:866,0
M,72d5839e-9427-477d-a470-7fc427c9e8fc,T1_L3S2P55;siaT;RBSc36;J23102;T3_ECK120033737,-782:-828;-839:-1309;-1310:-1340;-1344:-1378;-1438:-1494,0
M,fe5c3e02-71ad-4c01-86a6-0647706c03d7,J23100;T3_ECK120033737;J23113;RBSc44;siaT,205:239;273:328;391:425;429:458;459:864,0
M,47778639-d2e1-4c50-b9a1-65e98501100e,T3_ECK120033737;J23118;RBSc42;siaT;T1_L3S2P55,2518:2574;2637:2671;2675:2705;2706:3175;3179:3235,0
M,29086807-dc05-4ee4-a3a0-8aaaa97feb1e,T1_L3S2P55;siaT;RBSc42;J23118;T3_ECK120033737,-236:-290;-294:-759;-760:-790;-794:-828;-891:-947,0
M,7d82ed45-7ba0-45b8-a414-21ce3198c7ed,J23118;J23102,-2070:-2104;-2139:-2173,0
M,bca1267e-952c-472b-83d6-30048f0d74c5,T3_ECK120033737;J23118;siaT;T1_L3S2P55,1099:1155;1188:1222;1258:1727;1731:1787,0
M,6efe7193-8cdb-4870-9983-1e9c3e55aaaf,T1_L3S2P55;RBSc13;T3_ECK120033737;J23116;siaT,13:65;2870:2898;2915:2971;-3008:-3039;3074:3521,0
M,4adc2f34-e1d8-4b00-a1cd-fd3600f57150,RBSc58;J23100,1336:1366;1427:1461,0
M,68c0b247-c0b9-4a6e-b6e4-b7e6d9431ab9,J23118,1147:1181,0
M,231e9454-2f55-4ab4-a00e-af35eca97bc4,T3_ECK120033737;RBSc13;J23113;T1_L3S2P55;igoT,-417:-472;-475:-505;-509:-543;-576:-622;-632:-1869,0
M,9b9f4c57-418e-40cb-bc33-92b02ffec650,J23118;RBSc44;J23100,-2036:-2070;-2127:-2156;-2160:-2194,0
M,f218dfa2-9326-43df-9eb5-62847c300cba,T3_ECK120033737;J23116,302:358;3148:3181,0
M,c6680702-31c0-43ab-a86f-ff4b9af57f7a,T3_ECK120033737;J23102;RBSc36;siaT;T1_L3S2P55,697:752;815:849;853:883;884:1355;1359:1392,0
M,66548814-b1b9-4ddc-ae37-fea34f2ac26f,J23102;T3_ECK120033737;J23113;RBSc36;siaT;T1_L3S2P55,1711:1745;1883:1939;1972:2006;2010:2040;2041:2511;2515:2566,0
M,b9ec08a1-8134-44de-83f4-288da2119d55,T1_L3S2P55;siaT;RBSc33;J23107;T3_ECK120033737,-2520:-2576;-2580:-3050;-3051:-3081;-3085:-3119;-3182:-3238,0
M,e7aa8ac0-496c-43ca-9dbd-dc8841dcba56,igoT;J23113;T3_ECK120033737;J23107;RBSc33;siaT;T1_L3S2P55,-1:-618;715:749;-941:-972;1016:1050;1054:1084;1085:1551;1555:1607,0
M,a455deff-8107-4aee-8b26-41b856a7ef42,J23116;G_24769,2120:2154;2191:3153,0
M,5f5c853f-7708-4ecd-9cc8-bc19b7e481b4,J23118;RBSc58,2634:2669;2672:2702,0
M,0519f08f-b108-4fcf-9049-d96263f3317b,J23102;T3_ECK120033737;T1_L3S2P55;igoT;RBSc13;J23113;siaT,-18:-52;-85:-140;-247:-303;-307:-1669;-1670:-1700;-1704:-1738;-4512:-4982,0
M,a1e6f895-ec2b-4dac-9a09-5d0cf965da1b,J23100;T3_ECK120033737;J23113;RBSc58;igoT,84:118;152:193;3006:3040;3044:3074;3075:4404,0
M,8f329dca-42bc-46fc-888b-a3b97d43b4c4,RBSc13;T3_ECK120033737;J23102;RBSc36;siaT;T1_L3S2P55,2377:2407;2410:2466;2529:2563;2567:2597;2598:3068;3072:3128,0
M,63cca79a-c3cd-4cd7-8073-533ba3f24f70,siaT;RBSc58;T3_ECK120033737;G_24769;J23113;T1_L3S2P55;igoT,-1731:-2194;-2195:-2225;-2298:-2354;-2358:-3325;-3359:-3393;-3559:-3614;3618:4962,0
M,92ac9b7e-1ce4-4ac2-9e3f-06478cd3e802,J23107;RBSc58;igoT,1196:1230;1234:1264;1265:1500,0
M,b13372dc-7fb2-4c38-8c22-88a2550a50a3,dctM:siaM;T3_ECK120033737;J23113;RBSc44;siaT;T1_L3S2P55,1:251;255:311;374:408;412:441;442:912;916:972,0
M,6b930694-9d6b-4d4d-a3cb-75625cd24ebd,T1_L3S2P55;siaT;RBSc44;J23113;T3_ECK120033737;dctM:siaM,-3778:-3834;-3838:-4309;-4310:-4339;-4343:-4377;-4437:-4492;-4496:-4730,0
M,c1813f84-3e6a-4872-bdcd-7ebab0e58c5f,J23118;J23100;RBSc13,455:489;686:720;723:751,0
M,bdcb9417-25bb-48ed-ab64-d7a337a0718f,J23100;T3_ECK120033737,-1497:-1531;-1594:-1650,0
M,bcf23d3a-0ab8-46e5-9887-830854f4abbb,RBSc33;J23100,-2159:-2189;-2193:-2227,0
M,1f11e48a-d014-48ab-896d-8c91d3da6575,J23118,-2055:-2089,0
M,bc15d026-58f5-4e84-97d0-51a4afbf176f,RBSc13;J23100;RBSc58;J23118;T3_ECK120033737;T1_L3S2P55;igoT;J23113,-731:-761;-765:-799;-809:-838;-842:-876;-917:-973;-1005:-1061;-1065:-2427;-2463:-2497,0
M,70e1b7e5-2252-4e0c-bd77-a5ee81279455,J23113;RBSc58;dctM:siaM,242:276;280:310;311:1582,0
M,4414c3c1-33dc-49eb-baab-ae8457e4aa58,J23107;RBSc36,973:1007;1011:1041,0
M,018ca816-fd12-477f-a662-f8eefc0840f2,J23116;T3_ECK120033737;dctM:siaM;RBSc44;J23113;RBSc13;G_24769,-31:-65;-84:-140;-144:-1412;-1413:-1442;-1446:-1480;-4252:-4282;-4413:-5376,0
M,239b34ba-9b29-44e9-b849-977ec41b2d31,T1_L3S2P55;siaT;J23102;igoT;RBSc33,-2192:-2249;-2253:-2722;-2753:-2787;-3008:-4358;-4359:-4389,0
M,1c5648df-aa46-4530-88b9-511b912cfbf7,T1_L3S2P55;igoT;RBSc13;J23113,-1644:-1700;-1704:-3061;-3062:-3092;-3096:-3130,0
M,64708ee8-8e55-419c-ab39-d7ba40120c60,T1_L3S2P55;siaT;RBSc44;J23113,-2127:-2183;-2186:-2654;-2655:-2684;-2688:-2722,0
M,c5f4fa0e-cf72-4d0c-936e-2d923fde08a9,J23107;RBSc36;T1_L3S2P55;T3_ECK120033737;RBSc13,220:253;-288:-318;355:412;444:499;578:606,0
M,95f29658-be55-442b-8023-c2700f304a7c,T3_ECK120033737;RBSc13;J23113,-2647:-2703;-2779:-2809;-2813:-2847,0
M,27c710fe-de23-4b6f-b7b7-35a2dec7a9df,RBSc36;igoT;T1_L3S2P55;J23118;RBSc58,1062:1092;1093:2452;2456:2511;2637:2671;2675:2704,0
M,ab8d965b-4a3d-43b4-9103-9057ba1a8faa,T3_ECK120033737;J23102;RBSc58,-2551:-2607;-2641:-2675;-2684:-2713,0
M,5f090764-b931-450b-ad59-f419d69f1dec,J23113;T3_ECK120033737,32:66;173:229,0
M,e762a626-c0d9-4651-a8b1-5fb017e8cd8b,J23100;RBSc33,1302:1336;1340:1370,0
M,f5cb5e19-1169-45ec-a8a9-6e4e902600a6,T1_L3S2P55;siaT;RBSc36;J23102;J23118,-1663:-1719;-1723:-2190;-2191:-2221;-2224:-2258;-4225:-4257,0
M,01fff6ea-f40f-4920-9b33-d5e4dd6d1e07,J23113;T3_ECK120033737;J23118;RBSc58,678:712;747:804;845:879;883:912,0
M,91037fd8-7dd6-4033-bf4e-e4f8a4dae4fd,T3_ECK120033737;J23116;G_24769,1404:1444;1472:1506;1541:2501,0
M,cd90aafc-403a-434d-9eda-19a784095807,siaT;RBSc42;J23118;T1_L3S2P55,-1:-76;-77:-107;111:140;-3142:-3189,0
M,3b6ae343-3047-4095-ac9a-fc7335ab8701,J23100;J23118;G_24769;T3_ECK120033737,307:341;376:410;563:1533;1537:1590,0
M,7a78b8a3-2296-4f59-b1f2-62b29864f76a,G_24769;J23118;J23100,-3303:-4272;-4420:-4454;-4490:-4524,0
M,460887d1-8388-4a19-b8a8-d832485a7822,J23113,-1613:-1647,0
M,955d7a64-749a-4cba-89c3-01934af6aca9,siaT;RBSc36;J23102;G_24769;RBSc13;J23116;T3_ECK120033737,-8:-191;-192:-222;-226:-260;-292:-1259;-1260:-1290;-1294:-1328;-1347:-1403,0
M,91d44764-1961-40b9-ab1d-3807241fd395,J23113;RBSc13;T3_ECK120033737,2761:2795;2799:2829;-2836:-2885,0
M,0f5fddb3-9a1f-40a5-a438-55e68385047a,RBSc13;T3_ECK120033737,1516:1546;1549:1605,0
M,fc507159-9cc8-4104-b6cf-92e0b92d68c4,T1_L3S2P55;siaT;RBSc13;T3_ECK120033737,-541:-587;-598:-1068;-1069:-1099;-1201:-1257,0
M,a3e13fc1-2a02-427d-a914-c7caaaa1fcb2,T3_ECK120033737;RBSc58;siaT;T1_L3S2P55,1448:1490;1602:1632;1633:2105;2109:2166,0
M,8d840083-2a95-47e4-ae33-8080e223403f,T1_L3S2P55;siaT;RBSc44;T3_ECK120033737;dctM:siaM,-598:-646;-650:-1113;-1114:-1143;-1247:-1299;1305:2424,0
M,95db9c9e-ed3e-478e-9823-1cce69cd38eb,dctM:siaM;T3_ECK120033737;RBSc44;siaT;T1_L3S2P55,-1:-607;611:668;768:797;798:1263;1267:1323,0
M,571f57ce-43da-4db7-9658-3f18ce9f1cff,RBSc33,1229:1259,0
M,94e823de-a12d-4b39-a0e4-fe757faad120,RBSc13,-3463:-3493,0
M,cebfa0f6-12e8-4f76-9485-1441682c59a3,RBSc33,900:930,0
M,02586b25-d5ed-4b38-97a0-9c108d3aa040,T3_ECK120033737;RBSc33,1609:1665;1721:1751,0
M,e8c743bf-c99a-4c18-a970-949175326c7f,T1_L3S2P55;siaT,-2650:-2706;-2710:-3180,0
M,b4910660-f324-4b64-a771-4069b3e5ddf6,T3_ECK120033737;dctM:siaM,-2033:-2091;2095:2379,0
M,82b4c15d-7b9a-40d0-bece-d95954bec9f8,siaT,-2296:-2763,0
M,09c39249-9f17-4afb-85b7-f29f8b8fd0e7,igoT;T1_L3S2P55;T3_ECK120033737,-1:-1047;1051:1106;1138:1180,0
M,3654fb0e-90f4-43d9-8cc8-f2ef127c39da,T3_ECK120033737;dctM:siaM,-989:-1044;1123:2338,0
M,a330d5dd-570f-4dcb-ab2a-8825f944b159,G_24769,-1:-925,0
M,b6d69bdc-550d-4e45-ac1c-657ac83e865c,igoT,1478:2837,0
M,94b3da50-e733-411e-855b-e9ea7a552a8b,G_24769;T3_ECK120033737,1302:2271;2275:2328,0
M,1e6a1779-48e9-46dc-9ce8-aa7083365cfe,igoT,-37:-537,0
M,e9da4703-ce8d-42d8-8e2f-eb9f221e1f5f,T3_ECK120033737;dctM:siaM,-400:-456;460:1408,0
M,cdfdb638-4522-4454-be15-da0f0073af98,dctM:siaM,-1:-544,0
M,43dea614-8dec-4c76-bf70-bf0fb7851208,igoT;T1_L3S2P55;T3_ECK120033737,2335:3683;3689:3746;3854:3895,0
M,3559422c-957e-4bff-8e88-ab7a7cd9062d,G_24769;T3_ECK120033737,-1341:-2308;-2323:-2378,0
M,4e4af74e-519f-421a-a15d-c62fda7bcbac,siaT;T1_L3S2P55,15:373;377:428,0
M,21989c1b-d4d7-4b93-8179-6116cfaa659a,T1_L3S2P55;siaT,-1865:-1921;-1925:-2394,0
M,b4143542-7775-4882-a0d7-4a003bd87a7c,T1_L3S2P55;igoT,-244:-288;-300:-1658,0
M,436ff6fc-1199-45b7-a86d-d41e52e7114c,T3_ECK120033737,-1585:-1642,0
M,ce9f8ca3-8fc4-461f-8481-6531a731b8ae,T3_ECK120033737,1179:1235,0
M,1c7a5398-e8b9-4425-b964-aa45e60fbb19,T3_ECK120033737,-610:-665,0
M,6ac04a1a-4b27-4d81-a69c-f06c8481c3fe,T3_ECK120033737,800:851,0
M,4422e8c2-e37f-4ac9-8359-ad49a0b80c66,T3_ECK120033737,-1511:-1567,0
M,37296556-6a27-44b4-b784-a56810817536,T3_ECK120033737,-999:-1053,0
M,984a7974-39ad-445e-a8d5-8c6819812bc0,T3_ECK120033737,-611:-667,0
M,1559c1d2-a31e-4783-97b8-03811962d242,T3_ECK120033737,2153:2209,0
M,75d2c3f7-ebde-431d-b353-ed8bfdbf68f5,T3_ECK120033737,-55:-109,0
M,7078ac23-9f84-49d1-b0a5-de3ddf8a795e,T3_ECK120033737,2149:2205,0
M,f794e134-df3a-4427-aa08-45048ee15491,T3_ECK120033737,-179:-235,0
M,a88d6cb4-bf55-4c17-a6f2-9c4a72b1db38,T1_L3S2P55;T3_ECK120033737,-322:-378;-425:-481,0
M,752f4567-0fe6-4ad6-bb38-c5920341aae3,T3_ECK120033737,1247:1283,0
M,ff073f3d-b0de-489b-94a2-1f07c027d41c,T3_ECK120033737,-2593:-2649,0
M,4b4fb0ca-9c23-4717-9f14-399b5d4a9a4f,T1_L3S2P55,1810:1866,0
M,7c08bd8b-080f-494f-9a6b-c888b3e13c87,T3_ECK120033737,2228:2284,0
M,82f7448f-9bff-4db4-9f63-4b33c6a2885f,T3_ECK120033737,2539:2595,0
M,c820adf3-b472-4377-a569-7933f9d583fe,T3_ECK120033737,-2298:-2353,0
M,d53e5d70-5171-4a84-a08a-decf06505fed,T3_ECK120033737,50:104,0
M,9d7ffb50-3406-4b42-81a7-dca51ee220e8,T3_ECK120033737,-688:-745,0
M,2a3e25da-05ca-4006-a6ec-dd7ea2ab0731,T3_ECK120033737,2588:2644,0
M,f24c7cad-1ba1-41b3-aaa5-8f13e43ac37f,T3_ECK120033737,134:188,0
M,72064488-0731-4feb-b4a3-fd689c107a19,T3_ECK120033737,1929:1982,0
M,0bf42870-ac14-4ff6-9cc4-90c59417fda3,T3_ECK120033737,-852:-908,0
M,29a8a1da-c00f-40a9-8a82-2768cb928a0e,T3_ECK120033737,1706:1761,0
EF1,f58a56a4-9215-457a-a1ef-2942906902b6,T2_L3S2P21;symE;RBSc36;J23107;T1_L3S2P55;pac;J23118,-2142:-2202;-2206:-2544;-2545:-2575;-2579:-2613;-2624:-2679;-2686:-5221;-5256:-5290,0
EF1,687e9abd-f886-4283-a7ce-225d298a29b8,J23116;RBSc58;symE;T2_L3S2P21,793:827;831:861;862:1200;1204:1263,0
EF1,b1ef419b-8bd1-459c-acf9-b3c167278548,T2_L3S2P21;symE;RBSc58;J23102,-1016:-1076;-1080:-1417;-1418:-1448;-1698:-1732,0
EF1,d0c6f5c8-ce82-466b-9c00-d6cb4e1d3bde,pac;RBSc36;J23116,-1:-101;-102:-132;-136:-170,0
EF1,d68e9642-1d27-46ab-9842-4c9e6e177c2a,J23116,560:594,0
EF1,cf0d68be-6ac2-4a71-8c99-1e470a5d5306,symE;RBSc58;J23113;T1_L3S2P55;pac,-1:-261;-262:-292;-296:-330;-341:-397;-401:-882,0
EF1,c04147e4-3981-46ee-a491-14c06ea817bf,pac;T1_L3S2P55;J23118;RBSc36;symE,15:1259;1263:1318;1329:1363;1367:1397;1398:1561,0
EF1,eca9bc1f-e4c0-4de1-85d5-40ff867a3bda,J23116;T2_L3S2P21;symE;T1_L3S2P55;pac,-835:-869;-3296:-3356;3360:3687;-3700:-3755;-4543:-4630,0
EF1,701af728-89e5-4a11-ae24-73797c782c8e,J23118;RBSc36;pac,252:286;290:320;321:2785,0
EF1,84cbd50b-969d-4724-a4a5-3d1595820444,T2_L3S2P21;symE;RBSc36;J23107;T1_L3S2P55;pac,-595:-655;-659:-998;-999:-1029;-1033:-1067;-1083:-1132;1136:2691,0
EF1,66a4f829-58e0-4344-8cb9-fb03b3438e5b,pac;RBSc36;J23107,-1:-969;-970:-1000;-1004:-1038,0
EF1,873e3763-6d7f-4b30-b1df-36abd479ed5a,RBSc13;J23113;T1_L3S2P55;pac;RBSc36;J23107,-49:-79;-83:-117;-128:-184;-188:-2724;-2725:-2756;-2759:-2793,0
