experiment,read,sequence,start_flank,end_flank,read_length
M,12c2e7e1-6539-48cd-afad-c0416f4959b2,1:659-no_hits;660:716-T3_ECK120033737;3941:3976-J23113;3980:4010-RBSc33;4011:4075-dctM:siaM;4076:4075-no_hits,659,0,4075
M,1814f5bd-bb31-4834-bc65-ea44a8b9a128,1:2450-no_hits;2451:2507-T3_ECK120033737;2584:2614-RBSc13;2618:2652-J23113;2653:3009-no_hits,2450,357,3009
M,3d1913b9-9c40-48fe-ad52-31e9159ea002,1:403-no_hits;404:438-J23102;3359:3407-T1_L3S2P55;3419:3507-siaT;3508:3507-no_hits,403,0,3507
M,8ac19713-d2fc-43b2-a682-7af4a8eab569,1:285-no_hits;286:320-J23118;517:551-J23102;554:584-RBSc36;585:1055-siaT;1059:1114-T1_L3S2P55;1115:3581-no_hits,285,2467,3581
M,e90bf859-2050-4375-b273-45efe742c062,1:10-no_hits;11:592-igoT;596:652-T1_L3S2P55;663:697-J23100;732:766-J23113;770:799-RBSc44;802:843-T3_ECK120033737;3651:3685-J23107;3689:3719-RBSc58;3720:4479-no_hits,10,760,4479
M,fd2b4369-6293-4540-bdac-0e93fbdd88e6,1:160-no_hits;161:195-J23113;199:229-RBSc36;230:1594-igoT;1598:1654-T1_L3S2P55;1687:1721-J23118;1921:1955-J23100;1959:1989-RBSc13;1990:4546-no_hits,160,2557,4546
M,7f570dc0-d0d0-4ceb-b6dc-f5148f8cdf38,1:2-no_hits;3:230-igoT;234:284-T1_L3S2P55;416:450-J23100;454:484-RBSc58;3222:3256-J23107;3260:3290-RBSc33;3291:4409-no_hits,2,1119,4409
M,e1ecf761-3c46-419e-ad54-eef235eb7ce5,1:897-no_hits;898:928-RBSc13;932:966-J23100;1029:1085-T3_ECK120033737;1122:1156-J23113;1157:3015-no_hits,897,1859,3015
M,529aa989-0d1e-4cba-97e5-db3c47ded2a2,1:1481-no_hits;1482:1538-T3_ECK120033737;1673:1707-J23118;1708:3018-no_hits,1481,1311,3018
M,ccc714e3-eb83-4491-be75-491a874cb300,1:395-G_24769;430:464-J23113;480:536-T3_ECK120033737;537:3978-no_hits,0,3442,3978
M,1e5d7c3d-0c06-4e30-8671-f6fbf27e96bb,1:1612-no_hits;1613:1668-T3_ECK120033737;1687:1721-J23116;1725:1754-RBSc44;1755:3053-no_hits,1612,1299,3053
M,9c95d901-8c7c-4861-941d-b3bb52971354,1:2225-no_hits;2226:2260-J23113;2264:2294-RBSc13;2297:2352-T3_ECK120033737;2353:2958-no_hits,2225,606,2958
M,f64d9a7a-004b-4d22-968c-da333299ede5,1:205-no_hits;206:240-J23100;275:309-J23118;310:3046-no_hits,205,2737,3046
M,073148b7-1823-4b14-acf8-18caa98ab2b5,1:366-no_hits;367:401-J23102;413:442-RBSc58;443:2993-no_hits,366,2551,2993
M,916e1548-98b4-44a7-a727-2a7d5efcc182,1:2520-no_hits;2521:2555-J23113;2559:2588-RBSc58;2598:2632-J23102;2665:2721-T3_ECK120033737;2722:2985-no_hits,2520,264,2985
M,8c253845-b1a2-4eb5-b2cb-2f9b375d224f,1:1528-no_hits;1529:1563-J23116;1567:1597-RBSc13;1598:2558-G_24769;2562:2604-T3_ECK120033737;2605:3964-no_hits,1528,1360,3964
M,cf856a4a-6c42-4374-ad4c-41fa21abb592,1:761-no_hits;762:796-J23113;800:830-RBSc13;833:889-T3_ECK120033737;990:1020-RBSc42;1021:1490-siaT;1494:1551-T1_L3S2P55;1552:3543-no_hits,761,1992,3543
M,20dc884e-c56e-4b92-84e3-70054acd18c2,1:1222-no_hits;1223:1257-J23107;1310:2649-igoT;2653:2708-T1_L3S2P55;2779:2809-RBSc36;2810:4076-dctM:siaM;4080:4136-T3_ECK120033737;4199:4233-J23100;4234:4663-no_hits,1222,430,4663
M,23a315b9-4088-46e8-887c-1de1c173165d,1:243-no_hits;244:278-J23100;313:347-J23102;351:381-RBSc42;384:439-T3_ECK120033737;440:927-no_hits,243,488,927
M,b385d3fe-61bb-466d-8079-44b6606b3f5b,1:331-no_hits;332:366-J23113;398:454-T3_ECK120033737;455:2291-no_hits,331,1837,2291
M,847889a6-1b34-4b8d-826d-b3c5dc8e48f5,1:22-no_hits;23:57-J23100;120:176-T3_ECK120033737;180:1446-dctM:siaM;1447:1477-RBSc33;1548:1605-T1_L3S2P55;1609:2954-igoT;2955:2985-RBSc13;2989:3020-J23113;3021:3218-no_hits,22,198,3218
M,c0566dcd-13b3-4d5a-8c69-b2f704d8fb4b,1:944-no_hits;945:975-RBSc13;979:1013-J23100;1014:2943-no_hits,944,1930,2943
M,b74dfa49-1875-418f-bdde-f28ee238382e,1:254-no_hits;255:289-J23113;293:323-RBSc13;326:368-T3_ECK120033737;369:2941-no_hits,254,2573,2941
M,5cf9109f-ebb8-4f60-b986-3dc4edac2624,1:1109-igoT;1113:1169-T1_L3S2P55;1180:1214-J23102;1249:1283-J23100;1284:1844-no_hits,0,561,1844
M,b7d6c7c9-87fc-488f-9cb0-bddaf335e462,1:1779-no_hits;1780:1833-T1_L3S2P55;1841:2298-siaT;2299:2329-RBSc42;2333:2367-J23100;2430:2483-T3_ECK120033737;2484:3057-no_hits,1779,574,3057
M,e0621a9c-7fe9-48b8-a229-e226dafd0683,1:1128-no_hits;1129:1163-J23118;1214:1244-RBSc13;1248:1282-J23102;1283:3050-no_hits,1128,1768,3050
M,0e65b93d-2d38-468d-9fb4-0bf123c04575,1:714-no_hits;715:745-RBSc36;749:783-J23116;861:891-RBSc13;895:929-J23113;3751:3796-T3_ECK120033737;3806:4035-G_24769;4036:4035-no_hits,714,0,4035
M,0285eba0-31ff-46f1-8cf1-5a85e883e7af,1:271-no_hits;272:328-T1_L3S2P55;332:803-siaT;804:834-RBSc42;838:872-J23100;1072:1106-J23118;1199:2559-igoT;2560:2590-RBSc58;2594:2628-J23107;2629:3149-no_hits,271,521,3149
M,4d2e8539-84dc-4201-9afd-33e4ddbe0828,1:689-no_hits;690:724-J23113;728:758-RBSc33;759:2113-igoT;2117:2172-T1_L3S2P55;2204:2260-T3_ECK120033737;2261:3377-no_hits,689,1117,3377
M,ce3561aa-78d1-41b4-8491-00d3cc420366,1:1037-no_hits;1038:1094-T3_ECK120033737;1157:1191-J23116;1195:1224-RBSc44;1225:1493-siaT;1494:1493-no_hits,1037,0,1493
M,1a6c03b3-1b76-4870-8da3-c99c379d2bd8,1:1879-no_hits;1880:1909-RBSc58;1913:1945-J23100;1957:2043-G_24769;2044:2043-no_hits,1879,0,2043
M,20a9e135-c9ae-444e-8e2e-b936bff97917,1:56-siaT;60:111-T1_L3S2P55;2964:3017-T3_ECK120033737;3050:3084-J23116;3085:3517-no_hits,0,433,3517
M,b822fcc8-c703-4b99-9acc-64bf17c14c53,1:620-no_hits;621:655-J23118;656:674-no_hits,620,19,674
M,826cd91c-b659-409c-b13e-9c05f228fd0f,1:936-G_24769;971:1003-J23116;1004:2341-no_hits,0,1338,2341
M,f30c4186-c7a9-4162-95e5-243e42ce61ec,1:624-no_hits;625:676-T1_L3S2P55;680:1150-siaT;1151:1181-RBSc36;1185:1219-J23113;1230:1258-RBSc13;1262:1296-J23107;1337:1391-T3_ECK120033737;1429:1463-J23100;1464:1598-no_hits,624,135,1598
M,c2340138-4abb-45f2-89f3-e233888c99fb,1:1810-no_hits;1811:1845-J23102;1939:1969-RBSc13;1972:2025-T3_ECK120033737;2088:2122-J23113;2127:2156-RBSc44;2157:2625-siaT;2629:2685-T1_L3S2P55;2686:3579-no_hits,1810,894,3579
M,b1f63357-11b0-4a1f-98c0-e856df5a0661,1:911-no_hits;912:967-T1_L3S2P55;971:1443-siaT;1444:1473-RBSc44;1477:1511-J23113;1573:1629-T3_ECK120033737;1632:1662-RBSc13;1729:1759-RBSc36;1763:1797-J23102;1798:3601-no_hits,911,1804,3601
M,d8a49225-9ca3-4464-86d2-d91a271a6b21,1:201-no_hits;202:236-J23118;237:3756-no_hits,201,3520,3756
M,755f78e1-b8eb-4d7e-bf20-d2bc2e519e31,1:2804-no_hits;2805:2839-J23113;2843:2873-RBSc36;2874:4228-igoT;4232:4288-T1_L3S2P55;4320:4355-T3_ECK120033737;4356:4356-no_hits,2804,1,4356
M,759f1471-68f2-4990-aa15-d8ee7dabbdcf,1:1820-no_hits;1821:1855-J23107;1859:1889-RBSc36;1890:3248-igoT;3252:3303-T1_L3S2P55;3341:3375-J23118;3575:3609-J23100;3613:3643-RBSc13;3644:4528-no_hits,1820,885,4528
M,d14cb860-ebca-45ab-8336-d752c3d74bdc,1:1529-no_hits;1530:1560-J23118;1561:2947-no_hits,1529,1387,2947
M,69cac4d2-8c00-4c27-a6f6-1741d7f0aa9b,1:290-no_hits;291:347-T1_L3S2P55;3105:3139-J23113;3174:3217-T3_ECK120033737;3363:3392-RBSc44;3398:3559-siaT;3560:3559-no_hits,290,0,3559
M,303270f6-48ba-471b-beb8-5f2991ee2186,1:40-no_hits;41:1399-igoT;1403:1459-T1_L3S2P55;1531:1561-RBSc13;1564:1620-T3_ECK120033737;1683:1717-J23116;1718:4862-no_hits,40,3145,4862
M,9fab0ffd-4b1c-42e7-91d0-2ae6acd221f7,1:155-siaT;156:186-RBSc33;190:224-J23107;254:310-T3_ECK120033737;2154:2188-J23100;4947:5003-T1_L3S2P55;5004:5308-no_hits,0,305,5308
M,d98c8010-e771-4f65-9099-bdcd049c54c6,1:1647-no_hits;1648:1681-J23100;1721:1755-J23118;1759:1789-RBSc36;1790:2246-siaT;2250:2307-T1_L3S2P55;2308:3596-no_hits,1647,1289,3596
M,91d0f90b-e70b-47e7-9f44-3ca969fd18c8,1:2059-no_hits;2060:2095-J23100;2099:2128-RBSc44;2256:2290-J23116;2325:3295-G_24769;3299:3352-T3_ECK120033737;3353:4061-no_hits,2059,709,4061
M,adca55e3-a816-4739-841c-df0b902cc779,1:1263-no_hits;1264:1292-RBSc13;1296:1330-J23116;1331:1413-no_hits,1263,83,1413
M,38fadba3-18ef-4af9-987a-07c344f61330,1:54-no_hits;55:89-J23102;124:594-siaT;598:650-T1_L3S2P55;3375:3409-J23113;3413:3443-RBSc13;3444:4802-igoT;4893:4934-T3_ECK120033737;4935:4940-no_hits,54,6,4940
M,fbe00028-f0d7-44c3-89dc-3bf27d036c84,1:488-no_hits;489:542-T3_ECK120033737;548:1814-dctM:siaM;1850:1884-J23113;1885:4213-no_hits,488,2329,4213
M,145fdcf2-5087-4409-b9b2-ba45a3bb8e0a,1:28-J23100;32:62-RBSc13;63:304-no_hits,0,242,304
M,70f6407c-844b-4d85-992e-9ddd57d8c539,1:1996-no_hits;1997:2031-J23102;2035:2065-RBSc42;2068:2121-T3_ECK120033737;2122:2955-no_hits,1996,834,2955
M,a47bb2b4-6d53-4b35-a24f-ca4910d1cf48,1:483-igoT;487:543-T1_L3S2P55;3348:3382-J23107;3386:3416-RBSc58;3417:4276-no_hits,0,860,4276
M,2a829727-1865-40d8-ac1c-f4734845bb93,1:2580-no_hits;2581:2627-T1_L3S2P55;2639:3108-siaT;3109:3139-RBSc42;3143:3177-J23118;3210:3266-T3_ECK120033737;3270:4238-G_24769;4239:4269-RBSc36;4273:4304-J23113;4305:4676-no_hits,2580,372,4676
M,30784bc5-8b83-4226-a921-49d89bf4373d,1:1667-no_hits;1668:1723-T3_ECK120033737;1761:1795-J23118;1799:1829-RBSc58;1830:2146-no_hits,1667,317,2146
M,12f36ec7-c615-430e-b84d-ed5a8119068b,1:590-no_hits;591:625-J23118;626:3740-no_hits,590,3115,3740
M,536bc384-86f5-420d-be6a-fd11581f8c9b,1:739-no_hits;740:774-J23118;3581:3637-T3_ECK120033737;3670:3704-J23100;3715:3772-T1_L3S2P55;3777:4424-igoT;4425:4424-no_hits,739,0,4424
M,04507c22-5dd8-4d5d-9d97-0e292faa8129,1:19-no_hits;20:76-T3_ECK120033737;80:1348-dctM:siaM;1383:1417-J23113;4190:4246-T1_L3S2P55;4250:4720-siaT;4721:4751-RBSc36;4755:4789-J23100;4790:4818-no_hits,19,29,4818
M,c26c36d2-66fc-4976-aa78-660ed7d6c5a6,1:9-no_hits;10:44-J23102;48:77-RBSc58;182:224-T3_ECK120033737;267:301-J23113;305:335-RBSc36;336:806-siaT;810:866-T1_L3S2P55;867:3574-no_hits,9,2708,3574
M,72d5839e-9427-477d-a470-7fc427c9e8fc,1:781-no_hits;782:828-T1_L3S2P55;839:1309-siaT;1310:1340-RBSc36;1344:1378-J23102;1438:1494-T3_ECK120033737;1495:3470-no_hits,781,1976,3470
M,fe5c3e02-71ad-4c01-86a6-0647706c03d7,1:204-no_hits;205:239-J23100;273:328-T3_ECK120033737;391:425-J23113;429:458-RBSc44;459:864-siaT;865:864-no_hits,204,0,864
M,47778639-d2e1-4c50-b9a1-65e98501100e,1:2517-no_hits;2518:2574-T3_ECK120033737;2637:2671-J23118;2675:2705-RBSc42;2706:3175-siaT;3179:3235-T1_L3S2P55;3236:3451-no_hits,2517,216,3451
M,29086807-dc05-4ee4-a3a0-8aaaa97feb1e,1:235-no_hits;236:290-T1_L3S2P55;294:759-siaT;760:790-RBSc42;794:828-J23118;891:947-T3_ECK120033737;948:3465-no_hits,235,2518,3465
M,7d82ed45-7ba0-45b8-a414-21ce3198c7ed,1:2069-no_hits;2070:2104-J23118;2139:2173-J23102;2174:3045-no_hits,2069,872,3045
M,bca1267e-952c-472b-83d6-30048f0d74c5,1:1098-no_hits;1099:1155-T3_ECK120033737;1188:1222-J23118;1258:1727-siaT;1731:1787-T1_L3S2P55;1788:3629-no_hits,1098,1842,3629
M,6efe7193-8cdb-4870-9983-1e9c3e55aaaf,1:12-no_hits;13:65-T1_L3S2P55;2870:2898-RBSc13;2915:2971-T3_ECK120033737;3008:3039-J23116;3074:3521-siaT;3522:3521-no_hits,12,0,3521
M,4adc2f34-e1d8-4b00-a1cd-fd3600f57150,1:1335-no_hits;1336:1366-RBSc58;1427:1461-J23100;1462:3646-no_hits,1335,2185,3646
M,68c0b247-c0b9-4a6e-b6e4-b7e6d9431ab9,1:1146-no_hits;1147:1181-J23118;1182:3002-no_hits,1146,1821,3002
M,231e9454-2f55-4ab4-a00e-af35eca97bc4,1:416-no_hits;417:472-T3_ECK120033737;475:505-RBSc13;509:543-J23113;576:622-T1_L3S2P55;632:1869-igoT;1870:1869-no_hits,416,0,1869
M,9b9f4c57-418e-40cb-bc33-92b02ffec650,1:2035-no_hits;2036:2070-J23118;2127:2156-RBSc44;2160:2194-J23100;2195:3071-no_hits,2035,877,3071
M,f218dfa2-9326-43df-9eb5-62847c300cba,1:301-no_hits;302:358-T3_ECK120033737;3148:3181-J23116;3182:3385-no_hits,301,204,3385
M,c6680702-31c0-43ab-a86f-ff4b9af57f7a,1:696-no_hits;697:752-T3_ECK120033737;815:849-J23102;853:883-RBSc36;884:1355-siaT;1359:1392-T1_L3S2P55;1393:3459-no_hits,696,2067,3459
M,66548814-b1b9-4ddc-ae37-fea34f2ac26f,1:1710-no_hits;1711:1745-J23102;1883:1939-T3_ECK120033737;1972:2006-J23113;2010:2040-RBSc36;2041:2511-siaT;2515:2566-T1_L3S2P55;2567:3593-no_hits,1710,1027,3593
M,b9ec08a1-8134-44de-83f4-288da2119d55,1:2519-no_hits;2520:2576-T1_L3S2P55;2580:3050-siaT;3051:3081-RBSc33;3085:3119-J23107;3182:3238-T3_ECK120033737;3239:3482-no_hits,2519,244,3482
M,e7aa8ac0-496c-43ca-9dbd-dc8841dcba56,1:618-igoT;715:749-J23113;941:972-T3_ECK120033737;1016:1050-J23107;1054:1084-RBSc33;1085:1551-siaT;1555:1607-T1_L3S2P55;1608:5113-no_hits,0,3506,5113
M,a455deff-8107-4aee-8b26-41b856a7ef42,1:2119-no_hits;2120:2154-J23116;2191:3153-G_24769;3154:3904-no_hits,2119,751,3904
M,5f5c853f-7708-4ecd-9cc8-bc19b7e481b4,1:2633-no_hits;2634:2669-J23118;2672:2702-RBSc58;2703:3658-no_hits,2633,956,3658
M,0519f08f-b108-4fcf-9049-d96263f3317b,1:17-no_hits;18:52-J23102;85:140-T3_ECK120033737;247:303-T1_L3S2P55;307:1669-igoT;1670:1700-RBSc13;1704:1738-J23113;4512:4982-siaT;4983:4986-no_hits,17,4,4986
M,a1e6f895-ec2b-4dac-9a09-5d0cf965da1b,1:83-no_hits;84:118-J23100;152:193-T3_ECK120033737;3006:3040-J23113;3044:3074-RBSc58;3075:4404-igoT;4405:4409-no_hits,83,5,4409
M,8f329dca-42bc-46fc-888b-a3b97d43b4c4,1:2376-no_hits;2377:2407-RBSc13;2410:2466-T3_ECK120033737;2529:2563-J23102;2567:2597-RBSc36;2598:3068-siaT;3072:3128-T1_L3S2P55;3129:3548-no_hits,2376,420,3548
M,63cca79a-c3cd-4cd7-8073-533ba3f24f70,1:1730-no_hits;1731:2194-siaT;2195:2225-RBSc58;2298:2354-T3_ECK120033737;2358:3325-G_24769;3359:3393-J23113;3559:3614-T1_L3S2P55;3618:4962-igoT;4963:6082-no_hits,1730,1120,6082
M,92ac9b7e-1ce4-4ac2-9e3f-06478cd3e802,1:1195-no_hits;1196:1230-J23107;1234:1264-RBSc58;1265:1500-igoT;1501:1507-no_hits,1195,7,1507
M,b13372dc-7fb2-4c38-8c22-88a2550a50a3,1:251-dctM:siaM;255:311-T3_ECK120033737;374:408-J23113;412:441-RBSc44;442:912-siaT;916:972-T1_L3S2P55;973:4739-no_hits,0,3767,4739
M,6b930694-9d6b-4d4d-a3cb-75625cd24ebd,1:3777-no_hits;3778:3834-T1_L3S2P55;3838:4309-siaT;4310:4339-RBSc44;4343:4377-J23113;4437:4492-T3_ECK120033737;4496:4730-dctM:siaM;4731:4730-no_hits,3777,0,4730
M,c1813f84-3e6a-4872-bdcd-7ebab0e58c5f,1:454-no_hits;455:489-J23118;686:720-J23100;723:751-RBSc13;752:752-no_hits,454,1,752
M,bdcb9417-25bb-48ed-ab64-d7a337a0718f,1:1496-no_hits;1497:1531-J23100;1594:1650-T3_ECK120033737;1651:1996-no_hits,1496,346,1996
M,bcf23d3a-0ab8-46e5-9887-830854f4abbb,1:2158-no_hits;2159:2189-RBSc33;2193:2227-J23100;2228:3029-no_hits,2158,802,3029
M,1f11e48a-d014-48ab-896d-8c91d3da6575,1:2054-no_hits;2055:2089-J23118;2090:2999-no_hits,2054,910,2999
M,bc15d026-58f5-4e84-97d0-51a4afbf176f,1:730-no_hits;731:761-RBSc13;765:799-J23100;809:838-RBSc58;842:876-J23118;917:973-T3_ECK120033737;1005:1061-T1_L3S2P55;1065:2427-igoT;2463:2497-J23113;2498:3746-no_hits,730,1249,3746
M,70e1b7e5-2252-4e0c-bd77-a5ee81279455,1:241-no_hits;242:276-J23113;280:310-RBSc58;311:1582-dctM:siaM;1583:4240-no_hits,241,2658,4240
M,4414c3c1-33dc-49eb-baab-ae8457e4aa58,1:972-no_hits;973:1007-J23107;1011:1041-RBSc36;1042:1048-no_hits,972,7,1048
M,018ca816-fd12-477f-a662-f8eefc0840f2,1:30-no_hits;31:65-J23116;84:140-T3_ECK120033737;144:1412-dctM:siaM;1413:1442-RBSc44;1446:1480-J23113;4252:4282-RBSc13;4413:5376-G_24769;5377:5376-no_hits,30,0,5376
M,239b34ba-9b29-44e9-b849-977ec41b2d31,1:2191-no_hits;2192:2249-T1_L3S2P55;2253:2722-siaT;2753:2787-J23102;3008:4358-igoT;4359:4389-RBSc33;4390:4943-no_hits,2191,554,4943
M,1c5648df-aa46-4530-88b9-511b912cfbf7,1:1643-no_hits;1644:1700-T1_L3S2P55;1704:3061-igoT;3062:3092-RBSc13;3096:3130-J23113;3131:4408-no_hits,1643,1278,4408
M,64708ee8-8e55-419c-ab39-d7ba40120c60,1:2126-no_hits;2127:2183-T1_L3S2P55;2186:2654-siaT;2655:2684-RBSc44;2688:2722-J23113;2723:3460-no_hits,2126,738,3460
M,c5f4fa0e-cf72-4d0c-936e-2d923fde08a9,1:219-no_hits;220:253-J23107;288:318-RBSc36;355:412-T1_L3S2P55;444:499-T3_ECK120033737;578:606-RBSc13;607:878-no_hits,219,272,878
M,95f29658-be55-442b-8023-c2700f304a7c,1:2646-no_hits;2647:2703-T3_ECK120033737;2779:2809-RBSc13;2813:2847-J23113;2848:3002-no_hits,2646,155,3002
M,27c710fe-de23-4b6f-b7b7-35a2dec7a9df,1:1061-no_hits;1062:1092-RBSc36;1093:2452-igoT;2456:2511-T1_L3S2P55;2637:2671-J23118;2675:2704-RBSc58;2705:4416-no_hits,1061,1712,4416
M,ab8d965b-4a3d-43b4-9103-9057ba1a8faa,1:2550-no_hits;2551:2607-T3_ECK120033737;2641:2675-J23102;2684:2713-RBSc58;2714:3497-no_hits,2550,784,3497
M,5f090764-b931-450b-ad59-f419d69f1dec,1:31-no_hits;32:66-J23113;173:229-T3_ECK120033737;230:3037-no_hits,31,2808,3037
M,e762a626-c0d9-4651-a8b1-5fb017e8cd8b,1:1301-no_hits;1302:1336-J23100;1340:1370-RBSc33;1371:1571-no_hits,1301,201,1571
M,f5cb5e19-1169-45ec-a8a9-6e4e902600a6,1:1662-no_hits;1663:1719-T1_L3S2P55;1723:2190-siaT;2191:2221-RBSc36;2224:2258-J23102;4225:4257-J23118;4258:5362-no_hits,1662,1105,5362
M,01fff6ea-f40f-4920-9b33-d5e4dd6d1e07,1:677-no_hits;678:712-J23113;747:804-T3_ECK120033737;845:879-J23118;883:912-RBSc58;913:2034-no_hits,677,1122,2034
M,91037fd8-7dd6-4033-bf4e-e4f8a4dae4fd,1:1403-no_hits;1404:1444-T3_ECK120033737;1472:1506-J23116;1541:2501-G_24769;2502:4360-no_hits,1403,1859,4360
M,cd90aafc-403a-434d-9eda-19a784095807,1:76-siaT;77:107-RBSc42;111:140-J23118;3142:3189-T1_L3S2P55;3190:3587-no_hits,0,398,3587
M,3b6ae343-3047-4095-ac9a-fc7335ab8701,1:306-no_hits;307:341-J23100;376:410-J23118;563:1533-G_24769;1537:1590-T3_ECK120033737;1591:2425-no_hits,306,835,2425
M,7a78b8a3-2296-4f59-b1f2-62b29864f76a,1:3302-no_hits;3303:4272-G_24769;4420:4454-J23118;4490:4524-J23100;4525:4809-no_hits,3302,285,4809
M,460887d1-8388-4a19-b8a8-d832485a7822,1:1612-no_hits;1613:1647-J23113;1648:3727-no_hits,1612,2080,3727
M,955d7a64-749a-4cba-89c3-01934af6aca9,1:7-no_hits;8:191-siaT;192:222-RBSc36;226:260-J23102;292:1259-G_24769;1260:1290-RBSc13;1294:1328-J23116;1347:1403-T3_ECK120033737;1404:3168-no_hits,7,1765,3168
M,91d44764-1961-40b9-ab1d-3807241fd395,1:2760-no_hits;2761:2795-J23113;2799:2829-RBSc13;2836:2885-T3_ECK120033737;2886:2984-no_hits,2760,99,2984
M,0f5fddb3-9a1f-40a5-a438-55e68385047a,1:1515-no_hits;1516:1546-RBSc13;1549:1605-T3_ECK120033737;1606:2962-no_hits,1515,1357,2962
M,fc507159-9cc8-4104-b6cf-92e0b92d68c4,1:540-no_hits;541:587-T1_L3S2P55;598:1068-siaT;1069:1099-RBSc13;1201:1257-T3_ECK120033737;1258:3473-no_hits,540,2216,3473
M,a3e13fc1-2a02-427d-a914-c7caaaa1fcb2,1:1447-no_hits;1448:1490-T3_ECK120033737;1602:1632-RBSc58;1633:2105-siaT;2109:2166-T1_L3S2P55;2167:3486-no_hits,1447,1320,3486
M,8d840083-2a95-47e4-ae33-8080e223403f,1:597-no_hits;598:646-T1_L3S2P55;650:1113-siaT;1114:1143-RBSc44;1247:1299-T3_ECK120033737;1305:2424-dctM:siaM;2425:2424-no_hits,597,0,2424
M,95db9c9e-ed3e-478e-9823-1cce69cd38eb,1:607-dctM:siaM;611:668-T3_ECK120033737;768:797-RBSc44;798:1263-siaT;1267:1323-T1_L3S2P55;1324:1669-no_hits,0,346,1669
M,571f57ce-43da-4db7-9658-3f18ce9f1cff,1:1228-no_hits;1229:1259-RBSc33;1260:1637-no_hits,1228,378,1637
M,94e823de-a12d-4b39-a0e4-fe757faad120,1:3462-no_hits;3463:3493-RBSc13;3494:3697-no_hits,3462,204,3697
M,cebfa0f6-12e8-4f76-9485-1441682c59a3,1:899-no_hits;900:930-RBSc33;931:2226-no_hits,899,1296,2226
M,02586b25-d5ed-4b38-97a0-9c108d3aa040,1:1608-no_hits;1609:1665-T3_ECK120033737;1721:1751-RBSc33;1752:2571-no_hits,1608,820,2571
M,e8c743bf-c99a-4c18-a970-949175326c7f,1:2649-no_hits;2650:2706-T1_L3S2P55;2710:3180-siaT;3181:3204-no_hits,2649,24,3204
M,b4910660-f324-4b64-a771-4069b3e5ddf6,1:2032-no_hits;2033:2091-T3_ECK120033737;2095:2379-dctM:siaM;2380:2379-no_hits,2032,0,2379
M,82b4c15d-7b9a-40d0-bece-d95954bec9f8,1:2295-no_hits;2296:2763-siaT;2764:3488-no_hits,2295,725,3488
M,09c39249-9f17-4afb-85b7-f29f8b8fd0e7,1:1047-igoT;1051:1106-T1_L3S2P55;1138:1180-T3_ECK120033737;1181:3291-no_hits,0,2111,3291
